ID,StudentOutcomeID,KPI #,Description
1,1,1,Identification
2,1,2,Formulation
3,1,3,Solutions and Interpretation
4,2,1,Identify stakeholder needs
5,2,2,Develop requirements definitions
6,2,3,Conceptual design
7,2,4,Preliminary and final design
8,2,5,Documentation
9,3,1,Technical writing
10,3,2,Technical presentation
11,3,3,"Analysis documentation (i.e. code commenting, etc.)"
12,4,1,Knowledge of professional responsibilities
13,4,2,Knowledge of ethical responsibilities
14,4,3,Demonstrate informed judgement
15,5,1,Leadership
16,5,2,Knowledge and embodiment of collaboration and inclusion
17,5,3,Effective goal setting and planning to meet objectives
18,6,1,Develop and design appropriate experimentation
19,6,2,Conduct experiment safely
20,6,3,Analyze and interpret data to draw appropriate conclusion
21,7,1,Identify knowledge needed to develop solution
22,7,2,Accessing knowledge and information from appropriate sources (with references)
23,7,3,Synthesize new knowledge and apply to develop solution
