ID,Department,Number,Title,Units,Description,Concentration,Year,Quarter,Type,CourseCoordinatorID,ID,FirstName,LastName
1,AERO,406,Applied Computational Fluid Dynamics,4,"Application of Computational Fluid Dynamics to study a range of problems relating to applications in aerospace and automotive engineering.  Grid generation, sources of errors in CFD studies, boundary conditions, 2D and 3D external flows, and turbulence modeling.  2 lectures, 2 laboratories.",Major,unknown,unknown,Major,1,1,ABET,ABET
2,AERO,532,Advanced Aerospace Composite Design,4,"Behavior of composite materials.  Bending, buckling, and vibration of laminated plates.  Fatigue and fracture mechanics analysis of composite structures.  Optimum design of composite pressure vessels.  2 seminars, 2 laboratories.",Major,unknown,unknown,Major,1,1,ABET,ABET
3,AERO,531,Airworthiness and Aeroelasticity,4,"Fundamentals of airworthiness and aeroelasticity of flight vehicles.  Flight envelope and aircraft loads.  Loads and normal acceleration for various maneuvers.  Gust loads.  Load distribution and diversions.  Control effectiveness and reversal.  Fatigue and structural vibration.  Introduction to flutter.  3 lectures, 1 laboratory.",Major,unknown,unknown,Major,1,1,ABET,ABET
4,AERO,529,Turbulence and Flow Control,4,"Physics and analysis of turbulence.  Vorticity, mixing, jets, wakes, boundary layer transition, scales and structures.  Effects of turbulence on noise and aerodynamics.  Experiments and simulations in boundary layer transition, separation phenomena, passive and active flow control.  Not open to students with credit in AERO 523.  2 lectures, 2 laboratories.",Major,unknown,unknown,Major,1,1,ABET,ABET
5,AERO,528,Laminar Flow Aircraft Development,4,Fundamentals of laminar boundary layers in the design of aircraft.  History and development of laminar flow aircraft.  Modern approaches to designing for laminar flow.  Analysis and testing of laminar flow designs and determination of practical limits for laminar flow application.  4 lectures.,Major,unknown,unknown,Major,1,1,ABET,ABET
6,AERO,526,Spacecraft Thermal/Fluid Control,4,"Satellite thermal/fluid control hardware.  Governing equations for flow and heat transfer.  Surface tension and liquid/vapor interface.  Heat transfer by free convection, forced convection and radiation in low-gravity environment.  Heat pipes.  Capillary-pumped loops.  Cryogenic systems.  Fluid management in space.  4 lectures.",Major,unknown,unknown,Major,1,1,ABET,ABET
7,AERO,525,Computational Fluid Dynamics,4,"Classification of partial differential equations.  Numerical methods applicable to the solution of elliptic, parabolic, and hyperbolic partial differential equations.  Consideration of accuracy and stability of numerical methods.  Application to the fundamental equations of fluid dynamics, grid generation, turbulence modeling.  4 lectures.",Major,unknown,unknown,Major,1,1,ABET,ABET
8,AERO,523,Turbulence,4,"Flow physics of turbulence.  Turbulence scales and structures.  Reynolds equations.  Vorticity dynamics.  Energy production, convection, and dissipation.  Similarity rules and turbulence modeling for jets, wakes, mixing and boundary layers.  Effect of turbulence on noise, combustion, heat transfer, and flow control.  Not open to students with credit in AERO 529.  4 lectures.",Major,unknown,unknown,Major,1,1,ABET,ABET
9,AERO,522,Boundary-Layer Theory,4,"Concept of boundary-layer.  Boundary-layer equations, similarity transformation, integral and differential methods for steady, two-dimensional laminar and turbulent boundary layers.  4 lectures.",Major,unknown,unknown,Major,1,1,ABET,ABET
10,AERO,519,Fundamentals of Vehicle Dynamics and Control,4,"Fundamentals of particle and rigid body dynamics as they apply to aerospace vehicles.  Kinematic variables and coordinate transformations.  Attitude dynamics.  Fundamentals of feedback control and its application to aerospace systems.  Stability analysis.  Numerical simulation.  Not open to students with credit in AERO 351, 451, 452, or 421.  4 lectures.",Major,unknown,unknown,Major,1,1,ABET,ABET
